Item,WasteStream,Notes
Mason jars,Recycle,
"Meat, fish, giblets and bones",Organics,
Microfuge tubes,Biohazard yellow bags,
Microscope slide box with metal clasp,Landfill,
Microscope slide box without metal clasp,Recycle,
Milk cartons,Recycle,
"Molded plastic (eg. toys)",Landfill,
Muffin and cupcake wrappers,Organics,
Needles with syringes,Sharps,
Newspaper,Recycle,
"Nuts, pits, seeds and shells",Organics,
Oxivir wipes container,Recycle,
"Padded Envelope ",Recycle,
Paper,Recycle,
"Paper bags (non soiled)",Recycle,
Paper clips,Landfill,
Paper towel rolls,Recycle,
Pasta,Organics,
Pens,Landfill,
Petri dish plastic packaging bag,Landfill,
Pipette box,Recycle,
Pizza,Organics,
Plants,Organics,
Plastic bags,Landfill,
Plastic cell culture tubes,Biohazard yellow bags,
Plastic cutlery,Landfill,"Forks, spoons, knives, tongs"
Plastic food wrap,Landfill,
Plastic milk bags,Landfill,
Plastic Pasteur pipettes,Biohazard yellow bags,
Plastic Petri dishes with bacterial or fungal cultures,Biohazard yellow bags,
Plastic stir sticks,Landfill,
Plastic straws,Landfill,
Pop bottles and cans,Recycle,
Pringles container,Recycle,
Purification columns,Biohazard yellow bags,
Salads,Organics,
Scalpels,Sharps,
Serological pipettes,Biohazard yellow bags,
Shipping and packaging materials,Landfill,
"SMH computers, laptops, phones, monitors, docking stations",Helpdesk x5751,
Soil or dirt,Organics,
Soiled cardboard food packaging,Organics,
Soiled napkins,Organics,
Soiled paper bags,Organics,
Soiled paper food packaging,Organics,
Soiled paper plates,Organics,
Soiled paper towels,Organics,"When working in the lab space, please dispose of soiled paper towels in the <span style=""color:#000000;""><strong>LANDFILL.</strong></span>"
Soiled pizza boxes,Organics,
Soiled tissues or kleenex,Organics,
Soup can,Recycle,
Sponges,Landfill,
Sterile plastic packaging,Landfill,"eg. cell culture plastic packaging bags, syringe packaging, autoclave packaging"
Styrofoam,Landfill,
Styrofoam boxes,"MedStore recycling program","Please place all styrofoam boxes 20 x 20 x 20 inches and smaller in the designated styrofoam bin in the LKSKI receiving area."
Sugar and tea packets,Landfill,
"Syringes (without needles)",Biohazard yellow bags,
Tape,Landfill,
Tea bags,Organics,
Twist ties,Landfill,
Vacutainer tubes,Biohazard yellow bags,
Vegetables,Organics,
Water bottle,Recycle,
Wax paper,Landfill,
Wooden chop sticks,Organics,
Wooden stir sticks,Organics,
Yogurt cup,Recycle,
Ziploc bags,Landfill,
